"","kingdom","phylum","class","order","family","genus","species"
"ASV729","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Fokiniaceae","MD3-55","uncultured_bacterium"
"ASV1064","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Oscillatoriaceae","uncultured","filamentous_cyanobacterium"
"ASV1007","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","Nitrospira_sp."
"ASV674","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Simkaniaceae","uncultured","Chlamydiales_bacterium"
"ASV349","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","uncultured","uncultured_bacterium"
"ASV190","Bacteria","Firmicutes","Clostridia","Clostridia_vadinBB60_group","Clostridia_vadinBB60_group","Clostridia_vadinBB60_group","uncultured_bacterium"
"ASV762","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage","uncultured_bacterium"
"ASV147","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Glaciecola","uncultured_bacterium"
"ASV898","Bacteria","Nitrospirota","4-29-1","4-29-1","4-29-1","4-29-1","uncultured_bacterium"
"ASV512","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Xenococcaceae","Xenococcus_CRM","uncultured_bacterium"
"ASV593","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","uncultured","bacterium_symbiont"
"ASV388","Bacteria","Proteobacteria","Gammaproteobacteria","Thiomicrospirales","Thioglobaceae","SUP05_cluster","Candidatus_Thioglobus"
"ASV691","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","uncultured","uncultured_soil"
"ASV312","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Maribacter","Pibocella_sp."
"ASV476","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Ulvibacter","Ulvibacter_litoralis"
"ASV834","Bacteria","Firmicutes","Bacilli","uncultured","uncultured","uncultured","uncultured_bacterium"
"ASV68","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Thalassotalea","Thalassotalea_sp."
"ASV501","Bacteria","Proteobacteria","Gammaproteobacteria","EC3","EC3","EC3","uncultured_bacterium"
"ASV714","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","uncultured","uncultured","uncultured_Bacteroidetes"
"ASV790","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27_clade","uncultured_bacterium"
"ASV494","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hellea","uncultured_Alphaproteobacteria"
"ASV487","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Caminicellaceae","Paramaledivibacter","uncultured_bacterium"
"ASV529","Bacteria","Proteobacteria","Gammaproteobacteria","Granulosicoccales","Granulosicoccaceae","Granulosicoccus","uncultured_bacterium"
"ASV936","Bacteria","Proteobacteria","Gammaproteobacteria","Francisellales","Francisellaceae","Francisella","Francisellaceae_bacterium"
"ASV460","Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","uncultured","uncultured_bacterium"
"ASV543","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","uncultured","uncultured_bacterium"
"ASV481","Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfobacteraceae","Desulfocella","uncultured_bacterium"
"ASV945","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Bythopirellula","uncultured_bacterium"
"ASV223","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","uncultured_Bacteroidetes"
"ASV477","Bacteria","Proteobacteria","Gammaproteobacteria","Francisellales","Francisellaceae","[Caedibacter]_taeniospiralis_group","uncultured_bacterium"
"ASV1026","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Rivularia_PCC-7116","uncultured_bacterium"
"ASV226","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rhodopirellula","uncultured_planctomycete"
"ASV580","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Psychroflexus","uncultured_organism"
"ASV1041","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","uncultured","uncultured_bacterium"
"ASV24","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta_2","uncultured_bacterium"
"ASV648","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Marinagarivorans","Marinagarivorans_algicola"
"ASV62","Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfobacteraceae","Desulfobacter","uncultured_bacterium"
"ASV516","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Moritellaceae","Paramoritella","Paramoritella_sediminis"
"ASV967","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Aureispira","uncultured_marine"
"ASV359","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinifilaceae","uncultured","uncultured_bacterium"
"ASV602","Bacteria","Proteobacteria","Gammaproteobacteria","Tenderiales","Tenderiaceae","Candidatus_Tenderia","uncultured_gamma"
"ASV837","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","Fuerstia","uncultured_bacterium"
"ASV782","Bacteria","Proteobacteria","Gammaproteobacteria","Coxiellales","Coxiellaceae","Coxiella","uncultured_gamma"
"ASV232","Bacteria","Planctomycetota","vadinHA49","vadinHA49","vadinHA49","vadinHA49","uncultured_bacterium"
"ASV317","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","uncultured","Tenacibaculum_sp."
"ASV236","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","uncultured","uncultured_bacterium"
"ASV416","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Neptunomonas","Neptunomonas_sp."
"ASV369","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Neptuniibacter","Neptuniibacter_halophilus"
"ASV106","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Amoebophilaceae","uncultured","uncultured_Flexibacteraceae"
"ASV606","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aquimarina","Aquimarina_spongiae"
"ASV179","Bacteria","Bdellovibrionota","Oligoflexia","Oligoflexales","uncultured","uncultured","uncultured_bacterium"
"ASV538","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","uncultured","uncultured_bacterium"
"ASV160","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Winogradskyella","uncultured_bacterium"
"ASV235","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Parasphingopyxis","uncultured_bacterium"
"ASV842","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta_2","Spirochaeta_perfilievii"
"ASV611","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup_10","uncultured_Acidobacteriaceae"
"ASV436","Bacteria","Proteobacteria","Gammaproteobacteria","HOC36","HOC36","HOC36","marine_metagenome"
"ASV382","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS5_marine_group","uncultured_Flavobacterium"
"ASV751","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Thalassotalea","uncultured_Colwelliaceae"
"ASV522","Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","Melioribacteraceae","IheB3-7","uncultured_bacterium"
"ASV925","Bacteria","Proteobacteria","Gammaproteobacteria","HOC36","HOC36","HOC36","uncultured_bacterium"
"ASV867","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","uncultured","uncultured_gamma"
"ASV373","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","Vicingus","uncultured_Bacteroidetes"
"ASV618","Bacteria","Fibrobacterota","Chitinivibrionia","Chitinivibrionales","Chitinivibrionaceae","possible_genus_03","uncultured_Fibrobacteres"
"ASV291","Bacteria","Dependentiae","Babeliae","Babeliales","uncultured","uncultured","uncultured_bacterium"
"ASV244","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Portibacter","uncultured_Bacteroidetes"
"ASV189","Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","LK-44f","LK-44f","uncultured_bacterium"
"ASV154","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Marixanthomonas","uncultured_bacterium"
"ASV768","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","uncultured_bacterium"
"ASV939","Bacteria","Myxococcota","Polyangia","Nannocystales","Nannocystaceae","uncultured","uncultured_proteobacterium"
"ASV284","Bacteria","Dadabacteria","Dadabacteriia","Dadabacteriales","Dadabacteriales","Dadabacteriales","uncultured_bacterium"
"ASV711","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola","uncultured_bacterium_marine"
"ASV117","Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfobacteraceae","uncultured","uncultured_bacterium"
"ASV686","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Portibacter","uncultured_bacterium"
"ASV421","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","uncultured","uncultured","uncultured_Sphingobacteriales"
"ASV991","Bacteria","Bdellovibrionota","Oligoflexia","Oligoflexales","Oligoflexales","Pseudobacteriovorax","uncultured_bacterium"
"ASV531","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Roseitalea","uncultured_bacterium"
"ASV830","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Geitlerinemaceae","Geitlerinema_PCC-7105","Oscillatoriales_cyanobacterium"
"ASV514","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Candidatus_Megaira","uncultured_bacterium"
"ASV496","Bacteria","Dependentiae","Babeliae","Babeliales","UBA12409","UBA12409","uncultured_bacterium"
"ASV550","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Reichenbachiella","uncultured_Flammeovirgaceae"
"ASV879","Bacteria","Bdellovibrionota","Oligoflexia","Oligoflexales","Oligoflexales","Pseudobacteriovorax","uncultured_delta"
"ASV437","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flagellimonas","Flavobacteriaceae_bacterium"
"ASV70","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinilabiliaceae","uncultured","uncultured_organism"
"ASV205","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes_BD2-2","Bacteroidetes_BD2-2","uncultured_bacterium"
"ASV253","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","uncultured","uncultured_bacterium"
"ASV563","Bacteria","Bacteroidota","Rhodothermia","Balneolales","Balneolaceae","Balneola","uncultured_bacterium"
"ASV958","Bacteria","Myxococcota","Polyangia","Nannocystales","Nannocystaceae","uncultured","uncultured_bacterium"
"ASV151","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Polaribacter","uncultured_bacterium"
"ASV1028","Bacteria","Proteobacteria","Gammaproteobacteria","NKB5","NKB5","NKB5","uncultured_gamma"
"ASV848","Bacteria","Verrucomicrobiota","Kiritimatiellae","Kiritimatiellales","Kiritimatiellaceae","R76-B128","uncultured_organism"
"ASV754","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna_sp."
"ASV188","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hellea","uncultured_bacterium"
"ASV432","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","uncultured","uncultured_sediment"
"ASV595","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Kistimonas","uncultured_gamma"
"ASV132","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Eudoraea","Eudoraea_chungangensis"
"ASV371","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Limnobacter","uncultured_bacterium"
"ASV789","Bacteria","Chloroflexi","KD4-96","KD4-96","KD4-96","KD4-96","uncultured_bacterium"
"ASV454","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS5_marine_group","uncultured_Bacteroidetes/Chlorobi"
"ASV660","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Candidatus_Megaira","metagenome"
"ASV1071","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Pelagicoccus","uncultured_marine"
"ASV415","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Halioglobus","uncultured_gamma"
"ASV583","Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","Aquicella","uncultured_gamma"
"ASV776","Bacteria","Proteobacteria","Gammaproteobacteria","Ga0077536","Ga0077536","Ga0077536","uncultured_gamma"
"ASV395","Bacteria","Planctomycetota","BD7-11","BD7-11","BD7-11","BD7-11","uncultured_Planctomycetia"
"ASV594","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured_Flavobacterium"
"ASV485","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacteriaceae","uncultured_Bacteroidetes"
"ASV408","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","uncultured","uncultured_bacterium"
"ASV1024","Bacteria","Patescibacteria","WWE3","WWE3","WWE3","WWE3","uncultured_bacterium"
"ASV396","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter","uncultured_bacterium_marine"
"ASV433","Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfococcaceae","Desulfococcaceae","uncultured_bacterium"
"ASV700","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured_Cytophaga"
"ASV99","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Actibacter","uncultured_Bacteroidetes"
"ASV418","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia","uncultured_bacterium"
"ASV1091","Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","uncultured_organism"
"ASV115","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Natranaerovirga","uncultured_bacterium"
"ASV750","Bacteria","Spirochaetota","V2072-189E03","V2072-189E03","V2072-189E03","V2072-189E03","uncultured_organism"
"ASV410","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS4_marine_group","uncultured_bacterium"
"ASV812","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured_deep-sea"
"ASV536","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Agaribacterium","Cellvibrionaceae_bacterium"
"ASV584","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Vallitalea","uncultured_bacterium"
"ASV1069","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Oscillatoriaceae","Planktothricoides_SR001","uncultured_bacterium"
"ASV233","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Robiginitalea","uncultured_bacterium"
"ASV615","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","uncultured","uncultured","uncultured_bacterium"
"ASV802","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Spongiivirga","Spongiivirga_citrea"
"ASV208","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aurantivirga","uncultured_bacterium"
"ASV833","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Flammeovirgaceae","uncultured","uncultured_bacterium"
"ASV511","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter","Luteolibacter_cuticulihirudinis"
"ASV209","Bacteria","Desulfobacterota","Desulfuromonadia","Desulfuromonadia","Geopsychrobacteraceae","uncultured","uncultured_bacterium"
"ASV59","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula","uncultured_bacterium"
"ASV91","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","Sunxiuqinia","uncultured_bacterium"
"ASV320","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Lewinella","uncultured_bacterium"
"ASV756","Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","uncultured","uncultured_bacterium"
"ASV458","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Spongiibacteraceae","BD1-7_clade","uncultured_bacterium"
"ASV743","Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Peredibacter","uncultured_bacterium"
"ASV218","Bacteria","Proteobacteria","Gammaproteobacteria","Thiomicrospirales","Thioglobaceae","SUP05_cluster","uncultured_bacterium"
"ASV78","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Amphritea","uncultured_bacterium"
"ASV693","Bacteria","Planctomycetota","Pla3_lineage","Pla3_lineage","Pla3_lineage","Pla3_lineage","uncultured_Planctomycetaceae"
"ASV725","Bacteria","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","uncultured_organism"
"ASV835","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","Planctomicrobium","uncultured_bacterium"
"ASV507","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","uncultured","Flagellimonas_sp."
"ASV1039","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Kangiellaceae","Aliikangiella","uncultured_bacterium"
"ASV558","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Blattabacteriaceae","uncultured","uncultured_Bacteroidetes"
"ASV518","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aureisphaera","Aureisphaera_galaxeae"
"ASV258","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Roseibacillus","uncultured_Verrucomicrobiae"
"ASV779","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavicella","uncultured_bacterium"
"ASV928","Bacteria","Patescibacteria","Parcubacteria","Parcubacteria","Parcubacteria","Parcubacteria","uncultured_bacterium"
"ASV1010","Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","uncultured_bacterium"
"ASV1013","Bacteria","Acidobacteriota","Acidobacteriae","PAUC26f","PAUC26f","PAUC26f","uncultured_bacterium"
"ASV376","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Dokdonia","uncultured_bacterium"
"ASV463","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","Ilumatobacter","uncultured_actinobacterium"
"ASV493","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Thaumasiovibrio","uncultured_bacterium"
"ASV1097","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","uncultured_Bacteroidetes"
"ASV380","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Croceitalea","Croceitalea_sp."
"ASV185","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Epulopiscium","uncultured_Gram-positive"
"ASV216","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aquimarina","Flavobacteriaceae_bacterium"
